municipality,year,2017,e
Fredensborg,2016,75.5,75.0
Frederikssund,2016,77.9,77.4
Furesø,2016,78.7,77.9
Gribskov,2016,76.7,76.3
Halsnæs,2016,74.8,74.0
Helsingør,2016,74.6,74.0
Hillerød,2016,78.2,78.2
Hørsholm,2016,77.9,77.0
Rudersdal,2016,77.4,76.9
Bornholm,2016,70.1,69.3
Christiansø,2016,80.9,77.8
Greve,2016,78.4,77.9
Køge,2016,76.5,75.5
Lejre,2016,79.1,78.6
Roskilde,2016,76.8,75.6
Solrød,2016,81.5,79.9
Faxe,2016,75.1,74.4
Guldborgsund,2016,68.6,67.8
Holbæk,2016,73.4,73.3
Kalundborg,2016,70.7,70.2
Lolland,2016,63.1,62.6
Næstved,2016,72.8,72.1
Odsherred,2016,69.5,68.9
Ringsted,2016,75.8,74.7
Slagelse,2016,71.1,70.5
Sorø,2016,74.6,74.2
Stevns,2016,76.0,74.9
Vordingborg,2016,69.2,68.3
Assens,2016,72.5,71.5
Faaborg-Midtfyn,2016,72.7,71.7
Kerteminde,2016,72.9,71.3
Langeland,2016,66.2,66.0
Middelfart,2016,76.0,75.0
Nordfyns,2016,73.9,72.9
Nyborg,2016,70.3,69.4
Odense,2016,67.2,66.5
Svendborg,2016,69.1,68.4
Ærø,2016,68.1,67.0
Billund,2016,77.0,76.6
Esbjerg,2016,73.0,72.2
Fanø,2016,74.2,74.9
Fredericia,2016,72.3,71.5
Haderslev,2016,72.7,71.5
Kolding,2016,75.7,74.8
Sønderborg,2016,71.8,70.2
Tønder,2016,72.2,71.9
Varde,2016,77.4,76.1
Vejen,2016,77.0,76.5
Vejle,2016,76.2,75.3
Aabenraa,2016,72.9,72.0
Favrskov,2016,80.3,79.1
Hedensted,2016,79.3,79.0
Horsens,2016,74.0,73.0
Norddjurs,2016,71.1,70.2
Odder,2016,76.2,75.1
Randers,2016,72.9,72.1
Samsø,2016,72.5,71.7
Silkeborg,2016,76.7,75.8
Skanderborg,2016,79.9,78.8
Syddjurs,2016,74.9,73.8
Aarhus,2016,69.9,69.2
Herning,2016,75.9,74.9
Holstebro,2016,76.9,75.7
Ikast-Brande,2016,75.3,74.7
Lemvig,2016,75.7,74.9
Ringkøbing-Skjern,2016,77.1,76.4
Skive,2016,74.5,73.7
Struer,2016,72.8,72.0
Viborg,2016,75.4,74.4
Brønderslev,2016,73.7,73.0
Frederikshavn,2016,71.6,71.1
Hjørring,2016,72.7,72.1
Jammerbugt,2016,73.6,72.8
Læsø,2016,72.0,69.0
Mariagerfjord,2016,73.9,73.4
Morsø,2016,73.0,72.2
Rebild,2016,79.4,79.0
Thisted,2016,74.5,73.2
Vesthimmerlands,2016,73.9,73.1
Aalborg,2016,69.9,69.5
