municipality,year,2017,e
Aabenraa,2009,72.9,71.6
Favrskov,2009,80.3,78.6
Hedensted,2009,79.3,77.4
Horsens,2009,74.0,72.3
Norddjurs,2009,71.1,71.1
Odder,2009,76.2,76.1
Randers,2009,72.9,71.9
Samsø,2009,72.5,69.6
Silkeborg,2009,76.7,75.3
Skanderborg,2009,79.9,78.2
Syddjurs,2009,74.9,73.3
Aarhus,2009,69.9,69.8
Herning,2009,75.9,74.3
Holstebro,2009,76.9,75.6
Ikast-Brande,2009,75.3,74.5
Lemvig,2009,75.7,74.6
Ringkøbing-Skjern,2009,77.1,76.7
Skive,2009,74.5,72.3
Struer,2009,72.8,72.2
Viborg,2009,75.4,75.8
Brønderslev,2009,73.7,72.3
Frederikshavn,2009,71.6,70.5
Hjørring,2009,72.7,71.7
Jammerbugt,2009,73.6,72.1
Læsø,2009,72.0,67.0
Mariagerfjord,2009,73.9,72.4
Morsø,2009,73.0,69.1
Rebild,2009,79.4,77.0
Thisted,2009,74.5,73.3
Vesthimmerlands,2009,73.9,72.7
Aalborg,2009,69.9,70.1
Copenhagen,2010,72.2,69.7
Frederiksberg,2010,75.6,72.7
Dragør,2010,80.4,78.5
Tårnby,2010,77.6,75.4
Albertslund,2010,70.2,67.5
Ballerup,2010,74.5,71.9
Brøndby,2010,69.4,68.3
Gentofte,2010,76.1,76.4
Gladsaxe,2010,75.3,74.1
Glostrup,2010,76.0,74.5
Herlev,2010,75.4,73.7
Hvidovre,2010,74.8,73.8
Høje-Taastrup,2010,73.5,71.6
Ishøj,2010,70.3,67.9
Lyngby-Taarbæk,2010,75.7,75.2
Rødovre,2010,75.1,73.9
Vallensbæk,2010,79.7,78.9
Allerød,2010,82.2,81.4
Egedal,2010,82.2,80.7
Fredensborg,2010,75.5,75.0
Frederikssund,2010,77.9,76.5
Furesø,2010,78.7,77.4
Gribskov,2010,76.7,75.2
Halsnæs,2010,74.8,71.3
Helsingør,2010,74.6,73.2
Hillerød,2010,78.2,77.7
Hørsholm,2010,77.9,77.4
Rudersdal,2010,77.4,76.3
Bornholm,2010,70.1,65.9
Christiansø,2010,80.9,67.8
Greve,2010,78.4,76.2
Køge,2010,76.5,74.0
Lejre,2010,79.1,78.3
Roskilde,2010,76.8,75.2
Solrød,2010,81.5,78.8
Faxe,2010,75.1,73.6
Guldborgsund,2010,68.6,68.4
Holbæk,2010,73.4,72.9
Kalundborg,2010,70.7,69.5
Lolland,2010,63.1,62.4
Næstved,2010,72.8,72.1
Odsherred,2010,69.5,66.9
Ringsted,2010,75.8,74.4
Slagelse,2010,71.1,69.9
Sorø,2010,74.6,73.4
Stevns,2010,76.0,74.4
Vordingborg,2010,69.2,68.0
Assens,2010,72.5,71.7
Faaborg-Midtfyn,2010,72.7,71.3
Kerteminde,2010,72.9,70.7
Langeland,2010,66.2,65.4
Middelfart,2010,76.0,74.0
Nordfyns,2010,73.9,72.0
Nyborg,2010,70.3,69.5
Odense,2010,67.2,67.0
Svendborg,2010,69.1,68.6
Ærø,2010,68.1,66.0
Billund,2010,77.0,76.5
Esbjerg,2010,73.0,70.6
Fanø,2010,74.2,73.0
Fredericia,2010,72.3,70.6
Haderslev,2010,72.7,71.1
Kolding,2010,75.7,74.0
Sønderborg,2010,71.8,70.0
Tønder,2010,72.2,71.5
Varde,2010,77.4,76.7
Vejen,2010,77.0,74.9
Vejle,2010,76.2,74.8
Aabenraa,2010,72.9,70.9
Favrskov,2010,80.3,78.0
Hedensted,2010,79.3,78.3
Horsens,2010,74.0,71.6
Norddjurs,2010,71.1,70.5
Odder,2010,76.2,75.2
Randers,2010,72.9,71.3
Samsø,2010,72.5,68.2
Silkeborg,2010,76.7,74.5
Skanderborg,2010,79.9,77.9
Syddjurs,2010,74.9,72.2
Aarhus,2010,69.9,69.0
Herning,2010,75.9,73.7
Holstebro,2010,76.9,75.1
Ikast-Brande,2010,75.3,74.1
Lemvig,2010,75.7,75.4
Ringkøbing-Skjern,2010,77.1,75.7
Skive,2010,74.5,72.3
Struer,2010,72.8,72.2
Viborg,2010,75.4,75.4
Brønderslev,2010,73.7,72.4
Frederikshavn,2010,71.6,70.3
Hjørring,2010,72.7,71.4
Jammerbugt,2010,73.6,72.3
Læsø,2010,72.0,67.7
Mariagerfjord,2010,73.9,72.9
Morsø,2010,73.0,68.5
Rebild,2010,79.4,76.9
Thisted,2010,74.5,72.4
Vesthimmerlands,2010,73.9,72.6
Aalborg,2010,69.9,69.7
Copenhagen,2011,72.2,69.6
Frederiksberg,2011,75.6,72.8
Dragør,2011,80.4,78.5
Tårnby,2011,77.6,75.8
Albertslund,2011,70.2,67.4
Ballerup,2011,74.5,72.0
Brøndby,2011,69.4,68.2
Gentofte,2011,76.1,76.1
Gladsaxe,2011,75.3,73.6
Glostrup,2011,76.0,75.0
Herlev,2011,75.4,73.7
Hvidovre,2011,74.8,73.5
Høje-Taastrup,2011,73.5,71.6
Ishøj,2011,70.3,67.3
Lyngby-Taarbæk,2011,75.7,75.1
Rødovre,2011,75.1,73.6
Vallensbæk,2011,79.7,78.8
Allerød,2011,82.2,80.5
Egedal,2011,82.2,80.5
Fredensborg,2011,75.5,74.8
Frederikssund,2011,77.9,76.6
Furesø,2011,78.7,77.1
Gribskov,2011,76.7,75.4
Halsnæs,2011,74.8,71.6
Helsingør,2011,74.6,72.6
Hillerød,2011,78.2,77.5
Hørsholm,2011,77.9,76.8
Rudersdal,2011,77.4,76.4
Bornholm,2011,70.1,67.1
Christiansø,2011,80.9,67.7
Greve,2011,78.4,76.9
Køge,2011,76.5,73.7
Lejre,2011,79.1,78.2
Roskilde,2011,76.8,74.9
Solrød,2011,81.5,78.6
Faxe,2011,75.1,73.2
Guldborgsund,2011,68.6,67.4
Holbæk,2011,73.4,72.8
Kalundborg,2011,70.7,69.5
Lolland,2011,63.1,61.5
Næstved,2011,72.8,71.5
Odsherred,2011,69.5,67.0
Ringsted,2011,75.8,74.0
Slagelse,2011,71.1,69.4
Sorø,2011,74.6,72.8
Stevns,2011,76.0,74.2
Vordingborg,2011,69.2,68.1
Assens,2011,72.5,71.7
Faaborg-Midtfyn,2011,72.7,70.5
Kerteminde,2011,72.9,69.2
Langeland,2011,66.2,64.1
Middelfart,2011,76.0,73.7
Nordfyns,2011,73.9,71.4
Nyborg,2011,70.3,68.4
Odense,2011,67.2,66.1
Svendborg,2011,69.1,67.8
Ærø,2011,68.1,65.4
Billund,2011,77.0,76.1
Esbjerg,2011,73.0,70.8
Fanø,2011,74.2,73.6
Fredericia,2011,72.3,69.9
Haderslev,2011,72.7,70.7
Kolding,2011,75.7,73.7
Sønderborg,2011,71.8,69.3
Tønder,2011,72.2,70.9
Varde,2011,77.4,76.6
Vejen,2011,77.0,75.4
Vejle,2011,76.2,74.3
Aabenraa,2011,72.9,70.2
Favrskov,2011,80.3,77.9
Hedensted,2011,79.3,77.8
Horsens,2011,74.0,71.8
Norddjurs,2011,71.1,69.9
Odder,2011,76.2,74.5
Randers,2011,72.9,71.2
Samsø,2011,72.5,70.1
Silkeborg,2011,76.7,74.2
Skanderborg,2011,79.9,78.3
Syddjurs,2011,74.9,72.4
Aarhus,2011,69.9,68.0
Herning,2011,75.9,73.6
Holstebro,2011,76.9,75.0
Ikast-Brande,2011,75.3,74.0
Lemvig,2011,75.7,75.1
Ringkøbing-Skjern,2011,77.1,76.1
Skive,2011,74.5,72.5
Struer,2011,72.8,72.3
Viborg,2011,75.4,74.5
Brønderslev,2011,73.7,72.6
Frederikshavn,2011,71.6,70.6
Hjørring,2011,72.7,71.6
Jammerbugt,2011,73.6,72.1
Læsø,2011,72.0,68.2
Mariagerfjord,2011,73.9,72.3
Morsø,2011,73.0,68.9
Rebild,2011,79.4,77.0
Thisted,2011,74.5,72.3
Vesthimmerlands,2011,73.9,71.9
Aalborg,2011,69.9,69.2
Copenhagen,2012,72.2,69.4
Frederiksberg,2012,75.6,73.0
Dragør,2012,80.4,78.7
Tårnby,2012,77.6,75.4
Albertslund,2012,70.2,66.5
Ballerup,2012,74.5,71.4
Brøndby,2012,69.4,67.4
Gentofte,2012,76.1,75.5
Gladsaxe,2012,75.3,73.2
Glostrup,2012,76.0,74.7
Herlev,2012,75.4,73.1
Hvidovre,2012,74.8,72.8
Høje-Taastrup,2012,73.5,70.8
Ishøj,2012,70.3,66.4
Lyngby-Taarbæk,2012,75.7,75.1
Rødovre,2012,75.1,73.0
Vallensbæk,2012,79.7,78.7
Allerød,2012,82.2,80.4
Egedal,2012,82.2,80.7
Fredensborg,2012,75.5,73.8
Frederikssund,2012,77.9,76.1
Furesø,2012,78.7,76.5
Gribskov,2012,76.7,74.8
Halsnæs,2012,74.8,71.4
Helsingør,2012,74.6,72.2
Hillerød,2012,78.2,77.6
Hørsholm,2012,77.9,76.5
Rudersdal,2012,77.4,76.4
Bornholm,2012,70.1,66.0
Christiansø,2012,80.9,69.6
Greve,2012,78.4,76.2
Køge,2012,76.5,73.3
Lejre,2012,79.1,77.5
Roskilde,2012,76.8,74.1
Solrød,2012,81.5,77.9
Faxe,2012,75.1,72.5
Guldborgsund,2012,68.6,66.3
Holbæk,2012,73.4,72.0
Kalundborg,2012,70.7,68.5
Lolland,2012,63.1,60.7
Næstved,2012,72.8,71.4
Odsherred,2012,69.5,66.6
Ringsted,2012,75.8,72.8
Slagelse,2012,71.1,68.8
Sorø,2012,74.6,71.5
Stevns,2012,76.0,74.0
Vordingborg,2012,69.2,67.4
Assens,2012,72.5,70.8
Faaborg-Midtfyn,2012,72.7,69.7
Kerteminde,2012,72.9,68.3
Langeland,2012,66.2,63.1
Middelfart,2012,76.0,73.2
Nordfyns,2012,73.9,71.0
Nyborg,2012,70.3,67.9
Odense,2012,67.2,65.7
Svendborg,2012,69.1,67.5
Ærø,2012,68.1,65.9
Billund,2012,77.0,75.4
Esbjerg,2012,73.0,70.2
Fanø,2012,74.2,72.5
Fredericia,2012,72.3,68.9
Haderslev,2012,72.7,69.8
Kolding,2012,75.7,73.0
Sønderborg,2012,71.8,68.5
Tønder,2012,72.2,69.9
Varde,2012,77.4,75.7
Vejen,2012,77.0,75.0
Vejle,2012,76.2,73.8
Aabenraa,2012,72.9,69.5
Favrskov,2012,80.3,77.2
Hedensted,2012,79.3,77.5
Horsens,2012,74.0,70.9
Norddjurs,2012,71.1,68.9
Odder,2012,76.2,73.8
Randers,2012,72.9,70.5
Samsø,2012,72.5,68.4
Silkeborg,2012,76.7,74.1
Skanderborg,2012,79.9,78.1
Syddjurs,2012,74.9,71.9
Aarhus,2012,69.9,67.4
Herning,2012,75.9,73.1
Holstebro,2012,76.9,74.5
Ikast-Brande,2012,75.3,73.8
Lemvig,2012,75.7,73.8
Ringkøbing-Skjern,2012,77.1,74.5
Skive,2012,74.5,72.1
Struer,2012,72.8,70.9
Viborg,2012,75.4,73.5
Brønderslev,2012,73.7,72.1
Frederikshavn,2012,71.6,70.5
Hjørring,2012,72.7,71.5
Jammerbugt,2012,73.6,71.5
Læsø,2012,72.0,66.2
Mariagerfjord,2012,73.9,71.6
Morsø,2012,73.0,68.8
Rebild,2012,79.4,77.4
Thisted,2012,74.5,71.5
Vesthimmerlands,2012,73.9,71.5
Aalborg,2012,69.9,68.6
Copenhagen,2013,72.2,69.7
Frederiksberg,2013,75.6,73.3
Dragør,2013,80.4,78.7
Tårnby,2013,77.6,75.8
Albertslund,2013,70.2,67.0
Ballerup,2013,74.5,71.0
Brøndby,2013,69.4,67.5
Gentofte,2013,76.1,75.2
Gladsaxe,2013,75.3,73.1
Glostrup,2013,76.0,74.8
Herlev,2013,75.4,73.0
Hvidovre,2013,74.8,73.0
Høje-Taastrup,2013,73.5,71.2
Ishøj,2013,70.3,66.4
Lyngby-Taarbæk,2013,75.7,75.0
Rødovre,2013,75.1,73.2
Vallensbæk,2013,79.7,78.2
Allerød,2013,82.2,80.5
Egedal,2013,82.2,80.4
Fredensborg,2013,75.5,73.9
Frederikssund,2013,77.9,75.7
Furesø,2013,78.7,76.7
Gribskov,2013,76.7,74.7
Halsnæs,2013,74.8,71.5
Helsingør,2013,74.6,72.3
Hillerød,2013,78.2,77.3
Hørsholm,2013,77.9,76.8
Rudersdal,2013,77.4,76.6
Bornholm,2013,70.1,66.1
Christiansø,2013,80.9,69.4
Greve,2013,78.4,76.2
Køge,2013,76.5,73.1
Lejre,2013,79.1,77.4
Roskilde,2013,76.8,74.0
Solrød,2013,81.5,78.1
Faxe,2013,75.1,72.7
Guldborgsund,2013,68.6,66.3
Holbæk,2013,73.4,71.9
Kalundborg,2013,70.7,68.5
Lolland,2013,63.1,61.2
Næstved,2013,72.8,71.4
Odsherred,2013,69.5,67.0
Ringsted,2013,75.8,73.2
Slagelse,2013,71.1,68.6
Sorø,2013,74.6,71.7
Stevns,2013,76.0,73.7
Vordingborg,2013,69.2,67.3
Assens,2013,72.5,71.3
Faaborg-Midtfyn,2013,72.7,70.4
Kerteminde,2013,72.9,69.4
Langeland,2013,66.2,64.2
Middelfart,2013,76.0,73.7
